gen	nevals	avg   	std   	min    	max   
0  	80    	289085	164096	7425.54	757597
1  	38    	112998	82667.7	5979.56	343125
2  	32    	30273.3	29335.9	5933.83	110557
3  	31    	8572.02	6514.55	5913.92	39342.6
4  	30    	5962.37	27.8637	5912.24	6010   
5  	35    	5933.56	19.8711	5909.61	5980.85
6  	38    	6414.43	3146.95	5909.61	28900.6
7  	33    	5912.97	7.10931	5909.3 	5971.42
8  	25    	5910.49	1.08586	5909.3 	5912.7 
9  	59    	5909.63	0.437766	5908.01	5912.12
10 	41    	5909.41	0.201188	5908.02	5909.61
11 	39    	5909.52	2.73529 	5908.02	5933.7 
12 	35    	5909.03	0.376768	5908.02	5909.35
13 	39    	5908.58	0.392751	5908.02	5909.3 
14 	33    	6124.26	1757.57 	5908.02	21678.8
15 	40    	5909.55	9.38197 	5908.02	5973.26
16 	36    	5908.02	0.00884827	5908.02	5908.07
17 	36    	5908.02	0         	5908.02	5908.02
18 	37    	6225.19	1768.36   	5908.02	20100.6
19 	35    	6029.59	819.664   	5908.02	12724.7
20 	28    	6082.66	1552.24   	5908.02	19879.2
21 	38    	5908.2 	1.62762   	5908.02	5922.67
22 	35    	6085.71	1579.38   	5908.02	20123.6
23 	19    	5909.23	10.7477   	5908.02	6004.75
24 	39    	6203.06	1852.37   	5908.02	18916.1
25 	28    	5945.64	334.416   	5908.02	8918   
26 	32    	6115.57	1844.75   	5908.02	22512.1
27 	33    	5945.92	336.679   	5908.02	8938.39
28 	35    	6052.63	1285.37   	5908.02	17477.2
29 	38    	5908.02	0         	5908.02	5908.02
30 	34    	6270.26	2582.75   	5908.02	28301.9
31 	39    	6450.31	4670.55   	5908.02	47942.2
32 	32    	5908.04	0.214388  	5908.02	5909.95
33 	19    	5945.9 	236.632   	5908.02	7448.24
34 	41    	5908.02	0         	5908.02	5908.02
35 	41    	5950.18	374.726   	5908.02	9280.82
36 	30    	5908.08	0.552997  	5908.02	5912.99
37 	43    	5927.79	162.197   	5908.02	7364.05
38 	44    	6081.04	1093.49   	5908.02	15208.1
39 	32    	5908.02	0         	5908.02	5908.02
40 	37    	5908.06	0.36186   	5908.02	5911.27
