gen	nevals	avg    	std    	min    	max    
0  	80    	10293.5	8193.31	5069.57	38744.5
1  	32    	5249.34	400.577	5067.92	7604.8 
2  	51    	5086.04	20.1004	5045.13	5126.78
3  	46    	5062.85	13.8235	5045.13	5144.23
4  	33    	5051.99	5.88069	5044.17	5073.8 
5  	39    	5075.64	263.122	5043.67	7414.28
6  	39    	5046.29	8.06526	5040.64	5100.61
7  	35    	5126.61	725.753	5033.32	11576.9
8  	43    	5155.92	655.442	5032.33	10216.1
9  	29    	5038.36	7.35006	5032.33	5089.94
10 	39    	5033.99	5.12072	5032.32	5076.48
11 	37    	5033.14	4.04715	5031.53	5062.69
12 	44    	5032.45	1.19961	5031.53	5041.21
13 	41    	5032.33	1.25755	5031.53	5039.77
14 	38    	5031.74	0.25548	5031.53	5032.32
15 	43    	5136.04	928.758	5031.53	13391  
16 	36    	5031.94	3.53225	5031.53	5063.31
17 	29    	5032.32	7.06127	5031.53	5095.08
18 	48    	5032.64	7.0088 	5031.53	5087.81
19 	39    	5032.62	6.70708	5031.53	5080.68
20 	53    	5032.54	4.73584	5031.53	5061.38
21 	34    	5031.5 	0.19712	5029.75	5031.53
22 	33    	5032.18	5.71346	5029.75	5082.58
23 	30    	5033.19	10.8307	5029.75	5111.8 
24 	31    	5030.9 	2.35193	5029.74	5050.75
25 	35    	5030.05	1.09203	5029.73	5039.19
26 	27    	5029.97	2.00202	5029.73	5047.77
27 	33    	5044   	126.771	5029.73	6170.77
28 	19    	5029.79	0.534266	5029.73	5034.54
29 	28    	5029.8 	0.610761	5029.73	5035.23
30 	27    	5029.74	0.109214	5029.73	5030.71
31 	41    	5029.77	0.343927	5029.73	5032.82
32 	32    	5029.85	0.788264	5029.73	5036.37
33 	34    	5029.81	0.653513	5029.73	5035.59
34 	41    	5029.92	0.991846	5029.73	5038   
35 	24    	5029.78	0.44898 	5029.54	5033.76
36 	51    	5030.94	6.89286 	5029.52	5087.54
37 	36    	5030.12	4.25071 	5029.52	5067.9 
38 	36    	5029.58	0.365646	5029.52	5032.82
39 	37    	5030.14	4.31072 	5029.52	5067.7 
40 	25    	5030.66	7.54059 	5029.44	5090.83
